time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi,ZOO_daphnia
1979-01-01,20.840745580794355,0,-0.9580806662242801,0.9970556523991206,2.1988205697867973,0.8575542767707018,0.34419050085371594,35.35446722953483,129.79236221213588,353.5444622254667,583.3333000000001,5000,7.700000000000001,38.26990471935106,0
1979-01-02,19.92966263319418,0,-1.002412834707242,0.9865464922429126,2.1664621634887196,0.8448675659182378,0.33493282797469176,35.80801550231721,125.45238797755889,358.0803397458193,583.3333,5000.000000000001,7.7,37.79708880341942,0
1979-01-03,19.036226671101087,0,-1.039211456721242,0.9776981684426673,2.1408492440301288,0.8349051193884967,0.32822879954824286,36.30222870062962,121.11396116588234,363.0222013035051,583.3332999999999,5000,7.700000000000001,37.48932360559124,0
1979-01-04,18.165744202112823,0,-1.0702242604490946,0.9698489452814861,2.119013867688452,0.8264402455242187,0.3228083894549995,36.82436571739749,116.83484644369105,368.24355174483236,583.3333,5000,7.699999999999999,37.26187692723377,0
1979-01-05,17.332276298313907,0,-1.0961082900467625,0.9627993981275323,2.10030907745817,0.8190804547402988,0.3184161598530168,37.36526145510412,112.67897624566334,373.6523276157786,583.3333,5000,7.7,37.10232751911708,0
1979-01-06,16.539752699373583,0,-1.1173332873947326,0.9564795910761573,2.084177659215651,0.8128644790994748,0.31481831021216716,37.9188268190587,108.67704778212287,379.1882656441157,583.3333,5000,7.700000000000001,36.99795995457015,0
1979-01-07,15.786442353359377,0,-1.1345723524948819,0.9507807988843661,2.069919220079529,0.8072514190200095,0.3118770115829809,38.47839594422119,104.85503887708792,384.78367692574824,583.3333,4999.999999999999,7.699999999999999,36.92130742770037,0
1979-01-08,5.676121581436337,0,-1.0631157318344526,0.9665998644612374,2.167286482464965,0.8451998967472255,0.35536839872415754,39.32558105280397,100.46610039460651,393.2558105280396,583.3333,5000,7.7,42.5887919269432,0
1979-01-09,14.399738094671417,0,-1.1573711727162697,0.9412671045853913,2.0475665778245755,0.7985401635691997,0.30774692106901835,39.59864232334539,97.81295025335463,395.98614305521534,583.3333,5000,7.7,36.89002070323865,0
1979-01-10,13.759658163732897,0,-1.1635856305161205,0.9373225735293712,2.0385638807970268,0.7950544849486291,0.30617688427052636,40.153564680750335,94.58561988365561,401.5355468075034,583.3333,5000,7.7,36.900684036285725,0
1979-01-11,13.093257099765145,0,-1.1690921689140246,0.9323212639817416,2.0245067405353003,0.7895581203154436,0.3026156536981971,40.71115221288492,91.43951451872357,407.1118197883413,583.3333,5000,7.7,36.67459753421217,0
1979-01-12,12.43947927151869,0,-1.1752791744251894,0.9255578604901741,2.001527223691401,0.780637425230212,0.295422337499296,41.29246935178268,88.24923488537826,412.9244992781099,583.3333,5000,7.699999999999999,36.01454811971583,0
1979-01-13,12.269906095587292,0,-1.1685137819873503,0.9238706881412249,2.000803072805282,0.7803602843552835,0.29656379086535095,41.84133419500938,85.5527301229599,418.41284402745464,583.3333,5000,7.699999999999999,36.261456543479504,0
1979-01-14,12.120885980084836,0,-1.1563036614019675,0.9269769594993061,2.017853598244133,0.7869961919447662,0.3038699511799031,42.27232792240861,83.65716567820606,422.72307922408606,583.3333000000001,5000.000000000001,7.700000000000001,37.11953091184004,0
